"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RPL36A",1.43471717874353e-15,-0.48160894009874,0.92,0.963,2.17976580966504e-11,"RPL36A"
"IGJ",2.28788652208661e-12,-0.772717599524092,0.419,0.675,3.47598599300618e-08,"IGJ"
"IGLL5",7.65551081337808e-09,-0.803478133692567,0.359,0.566,0.000116310175787653,"IGLL5"
"RPSAP58",3.50371091135634e-06,-0.58279919206794,0.311,0.503,0.0532318798762368,"RPSAP58"
"FGFR1OP2",8.9511194097999e-05,-0.758916411395599,0.133,0.25,1,"FGFR1OP2"
"CXCR4",0.000215995072216704,0.369329386243985,0.934,0.911,1,"CXCR4"
"SUN2",0.000785678962204579,-0.48272344652956,0.197,0.319,1,"SUN2"
"CORO1A",0.000861991084451486,-0.319746998200745,0.664,0.79,1,"CORO1A"
"IFITM1",0.000942030011935072,0.732050849731538,0.348,0.27,1,"IFITM1"
"TAP1",0.00112710250330643,-0.469741521776705,0.149,0.25,1,"TAP1"
"EZR",0.00132366063389,0.729732229635699,0.327,0.247,1,"EZR"
"CSDE1",0.00185673978850197,-0.465738219472938,0.286,0.417,1,"CSDE1"
"SRSF5",0.00220852455052474,-0.325736675899807,0.517,0.629,1,"SRSF5"
"JMJD1C",0.00254166876570366,-0.487440949189286,0.195,0.305,1,"JMJD1C"
"ANXA7",0.00280317787029196,-0.414865715666625,0.158,0.253,1,"ANXA7"
"PLAC8",0.00335747446540264,-0.471874412634169,0.27,0.382,1,"PLAC8"
"EIF3I",0.00434663392701667,-0.45933957640465,0.162,0.256,1,"EIF3I"
"RARRES3",0.0043826354604667,-0.30749644284702,0.446,0.552,1,"RARRES3"
"CLEC2D",0.00469255552523243,-0.303754539544604,0.208,0.307,1,"CLEC2D"
"GNAS",0.00500337518965941,-0.290054896205555,0.217,0.322,1,"GNAS"
"ERP29",0.00559566155800637,-0.407167536292709,0.341,0.451,1,"ERP29"
"BHLHE40",0.00622527552113489,-0.38870369742719,0.16,0.25,1,"BHLHE40"
"GPR65",0.00630134176903291,0.712887256535284,0.343,0.276,1,"GPR65"
"LAMTOR4",0.00640082990952833,-0.41087092342769,0.281,0.399,1,"LAMTOR4"
"ECH1",0.00709595551536578,-0.398168752386631,0.183,0.276,1,"ECH1"
"GATA3",0.00714359231915609,-0.259583872614739,0.279,0.376,1,"GATA3"
